"year","ALUR","AZUR","CAUR","COUR","FLUR","GAUR","ILUR","MAUR","MDUR","MIUR","NCUR","NJUR","NVUR","NYUR","OHUR","ORUR","PAUR","TNUR","TXUR","VAUR","WAUR","WIUR","ARUR","CTUR","DEUR","IAUR","IDUR","INUR","KSUR","MEUR","MOUR","MTUR","NDUR","NEUR","NHUR","NMUR","OKUR","RIUR","SCUR","SDUR","UTUR","VTUR","WVUR","WYUR","KYUR","MNUR","AKUR","HIUR","LAUR","MSUR"
2011,7.208,6.77,8.034,5.924,6.821,6.57,7.338,5.811,5.498,8.097,6.57,6.815,7.877,6.78,6.923,7.237,6.525,6.663,6.307,4.853,7.195,5.653,6.404,6.06,5.668,4.676,6.212,6.421,4.882,5.941,6.235,5.676,3.594,3.591,4.407,6.68,4.979,7.225,6.947,3.702,5.12,4.571,7.68,5.02,7.029,5.049,7.567,5.488,7.038,8.191
2012,6.931,6.548,7.766,5.784,6.519,6.372,7.191,5.704,5.415,7.882,6.42,6.825,7.587,6.839,6.65,7.087,6.501,6.44,6.042,4.759,6.997,5.527,6.279,5.935,5.573,4.561,6.029,6.283,4.749,5.828,5.948,5.507,3.514,3.501,4.403,6.627,4.881,7.065,6.682,3.593,4.629,4.448,7.578,4.895,6.795,4.865,7.377,5.128,6.788,7.801
2013,6.768,6.438,7.492,5.531,6.287,6.19,7.2,5.696,5.355,7.816,6.055,6.619,7.274,6.672,6.648,6.896,6.395,6.38,5.964,4.701,6.633,5.477,6.236,5.848,5.488,4.504,5.904,6.141,4.676,5.723,5.871,5.411,3.504,3.461,4.358,6.617,4.889,6.902,6.36,3.53,4.515,4.374,7.48,4.75,6.74,4.742,7.294,4.692,6.652,7.667
2014,6.65,6.233,7.201,5.176,6.072,5.993,6.816,5.516,5.188,7.514,5.723,6.272,6.92,6.367,6.335,6.674,6.178,6.17,5.737,4.609,6.495,5.217,6.002,5.581,5.304,4.411,5.405,5.83,4.517,5.501,5.753,5.279,3.459,3.364,4.172,6.548,4.734,6.558,6.135,3.458,4.402,4.273,7.436,4.679,6.44,4.582,7.22,4.495,6.598,7.311
2015,6.513,6.091,6.931,4.926,5.884,5.773,6.583,5.324,5.048,7.152,5.631,6.074,6.654,6.152,6.163,6.437,6.068,5.96,5.594,4.471,6.397,5.027,5.817,5.38,5.143,4.302,5.305,5.6,4.447,5.264,5.54,5.199,3.481,3.312,3.987,6.558,4.722,6.208,6.055,3.395,4.377,4.186,7.446,4.657,6.204,4.485,7.037,4.172,6.608,6.851
2016,6.456,5.97,6.791,4.809,5.766,5.653,6.561,5.168,4.891,7.067,5.52,5.922,6.447,6.084,6.183,6.296,6.051,5.803,5.634,4.396,6.347,4.93,5.622,5.233,5.088,4.279,5.265,5.518,4.422,5.144,5.435,5.204,3.529,3.339,3.887,6.593,4.796,6.053,5.855,3.39,4.344,4.116,7.353,4.862,6.164,4.507,7.174,3.968,6.518,6.667
2017,6.198,5.861,6.654,4.709,5.641,5.515,6.376,5.131,4.855,6.986,5.41,5.839,6.282,6.037,6.158,6.159,5.98,5.602,5.572,4.321,6.238,4.8,5.576,5.14,5.061,4.177,5.16,5.345,4.341,5.061,5.278,5.171,3.446,3.309,3.87,6.46,4.672,5.9,5.713,3.393,4.309,4.081,7.178,4.675,6.105,4.422,7.167,3.698,6.152,6.354
2018,6.081,5.831,6.539,4.791,5.512,5.367,6.263,5.056,4.803,6.902,5.301,5.739,6.162,5.929,6.067,6.152,5.866,5.555,5.484,4.196,6.188,4.743,5.557,5.038,4.919,4.076,5.099,5.326,4.274,5.021,5.166,5.096,3.404,3.299,3.835,6.223,4.524,5.815,5.548,3.343,4.26,3.991,7.166,4.62,5.992,4.339,6.96,3.765,6.032,6.247
2019,5.935,5.833,6.506,4.719,5.432,5.283,6.18,4.974,4.718,6.884,5.275,5.627,6.102,5.887,5.997,6.091,5.838,5.522,5.406,4.141,6.145,4.785,5.526,4.975,4.891,4.091,5.1,5.303,4.242,4.966,5.166,5.051,3.356,3.341,3.818,6.23,4.489,5.71,5.428,3.338,4.185,3.911,7.123,4.554,5.975,4.389,6.764,3.808,5.955,6.467
2020,6.578,6.435,7.721,5.544,6.397,5.873,7.251,6.233,5.345,8.084,5.965,6.832,8.015,7.09,6.823,6.861,6.751,6.353,6.246,4.899,7.048,5.43,6.059,5.86,5.686,4.602,5.634,6.116,4.777,5.409,5.763,5.516,3.928,3.571,4.658,6.822,5.126,6.857,6.075,3.618,4.644,4.621,7.805,4.979,6.447,4.992,7.837,7.502,7.575,7.471
2021,5.966,5.878,7.157,5.287,5.727,5.352,6.605,5.423,5.081,7.214,5.478,6.274,6.645,6.525,6.22,6.376,6.165,5.748,5.826,4.363,6.347,4.902,5.634,5.55,5.269,4.329,5.239,5.418,4.291,5.333,5.348,5.029,3.544,3.237,4.003,6.65,4.671,6.125,5.66,3.298,4.23,4.214,7.166,4.717,6.045,4.47,7.084,5.192,6.345,6.434
2022,5.795,5.613,6.546,4.806,5.387,5.197,6.301,5.089,4.635,6.896,5.235,5.705,6.32,5.967,5.967,6.131,5.81,5.525,5.484,4.134,6.12,4.705,5.462,5.065,5.016,4.124,5.099,5.253,4.157,4.954,5.04,4.877,3.344,3.147,3.792,6.05,4.471,5.652,5.515,3.168,4.15,3.961,6.91,4.494,5.964,4.23,6.227,4.108,5.568,5.764
