source_year,year,flow_period,flow_type,origin_fips,dest_fips,state_abbr,n_returns,n_exemptions,total_agi
2011,2011,2011-2012,inflow,01,01,AL,1584665,3603439,87222478
2011,2011,2011-2012,inflow,01,02,AK,227,553,10230
2011,2011,2011-2012,inflow,01,04,AZ,515,1054,29965
2011,2011,2011-2012,inflow,01,05,AR,507,1080,26362
2011,2011,2011-2012,inflow,01,06,CA,1701,3451,80533
2011,2011,2011-2012,inflow,01,08,CO,624,1335,37114
2011,2011,2011-2012,inflow,01,09,CT,224,451,10054
2011,2011,2011-2012,inflow,01,10,DE,74,183,4034
2011,2011,2011-2012,inflow,01,11,DC,115,164,6765
2011,2011,2011-2012,inflow,01,12,FL,8039,14729,279695
2011,2011,2011-2012,inflow,01,13,GA,9726,19988,334270
2011,2011,2011-2012,inflow,01,15,HI,270,665,12070
2011,2011,2011-2012,inflow,01,16,ID,98,225,3713
2011,2011,2011-2012,inflow,01,17,IL,1011,1905,52113
2011,2011,2011-2012,inflow,01,18,IN,748,1578,31040
2011,2011,2011-2012,inflow,01,19,IA,208,407,9393
2011,2011,2011-2012,inflow,01,20,KS,388,976,16998
2011,2011,2011-2012,inflow,01,21,KY,931,2133,39704
2011,2011,2011-2012,inflow,01,22,LA,1323,2743,66179
2011,2011,2011-2012,inflow,01,23,ME,87,164,4759
2011,2011,2011-2012,inflow,01,24,MD,557,1065,33861
2011,2011,2011-2012,inflow,01,25,MA,251,438,11867
2011,2011,2011-2012,inflow,01,26,MI,1063,2099,38535
2011,2011,2011-2012,inflow,01,27,MN,230,428,11236
2011,2011,2011-2012,inflow,01,28,MS,2792,6016,112949
2011,2011,2011-2012,inflow,01,29,MO,636,1328,29570
2011,2011,2011-2012,inflow,01,30,MT,84,151,3114
2011,2011,2011-2012,inflow,01,31,NE,139,331,6823
2011,2011,2011-2012,inflow,01,32,NV,236,464,12379
2011,2011,2011-2012,inflow,01,33,NH,78,141,3898
2011,2011,2011-2012,inflow,01,34,NJ,417,811,20986
2011,2011,2011-2012,inflow,01,35,NM,219,495,9985
2011,2011,2011-2012,inflow,01,36,NY,1175,2350,47715
2011,2011,2011-2012,inflow,01,37,NC,1603,3542,70304
2011,2011,2011-2012,inflow,01,38,ND,58,108,2631
2011,2011,2011-2012,inflow,01,39,OH,1031,2036,41821
2011,2011,2011-2012,inflow,01,40,OK,444,989,28273
2011,2011,2011-2012,inflow,01,41,OR,121,223,4191
2011,2011,2011-2012,inflow,01,42,PA,641,1231,28554
2011,2011,2011-2012,inflow,01,44,RI,51,115,1876
2011,2011,2011-2012,inflow,01,45,SC,971,2108,43175
